MWE,Category,POS 1,POS 2
4_wd,c,noun,
a_bit,ffi,adv,noun
a_cappella,ffi,noun,adv
a_little,ffi,adv,
a_long_way,s,adv,
a_lot,ffi,noun,adv
abdominal_cavity,c,noun,
abide_by,ffi,verb,
abominable_snowman,pn,noun,
about_turn,c,noun,
above_-_mentioned,c,adj,
absolute_zero,c,noun,
accordion_player,c,noun,
accounts_receivable,ffi,noun,
ace_of_spades,ffi,noun,
acetic_anhydride,c,noun,
acrylic_acid,c,noun,
act_of_god,s,noun,
acts_of_the_apostles,pn,noun,
acute_accent,c,noun,
ad_-_lib,ffi,adv,adj
add_-_on,ffi,noun,
add_up,ffi,verb,
addis_ababa,pn,noun,
adenosine_triphosphate,c,noun,
adhesive_tape,c,noun,
admiralty_law,c,noun,
all_-_encompassing,c,adj,
all_-_powerful,c,adj,
all_of_a_sudden,ffi,adv,
allergic_rhinitis,ffi,noun,
alpha_and_omega,pn,noun,
altar_boy,c,noun,
alternating_current,c,noun,
alternative_medicine,c,noun,
american_eagle,c,noun,
american_lion,c,noun,
amniotic_fluid,c,noun,
amplitude_modulation,c,noun,
amusement_park,c,noun,
anal_sex,c,noun,
angular_velocity,c,noun,
animal_kingdom,c,noun,
animated_cartoon,c,noun,
appellate_court,c,noun,
apple_tree,c,noun,
arab_league,pn,noun,
aral_sea,pn,noun,
arctic_ocean,pn,noun,
armillary_sphere,c,noun,
arms_race,c,noun,
arrest_warrant,c,noun,
art_history,c,noun,
artesian_well,c,noun,
as_much_as_possible,ffi,adv,
as_such,ffi,adv,
as_well,ffi,adv,
as_yet,ffi,adv,
ascorbic_acid,c,noun,
asia_minor,pn,noun,
assault_rifle,c,noun,
assembly_language,c,noun,
association_football,c,noun,
at_first,ffi,adv,
at_random,ffi,adv,
at_some_time,s,adv,
athlete_'s_foot,s,noun,
atom_smasher,c,noun,
atomic_energy,c,noun,
atomic_mass,c,noun,
atomic_pile,c,noun,
attention_deficit_hyperactivity_disorder,c,noun,
australian_dollar,c,noun,
australian_rules_football,c,noun,
automatic_transmission,c,noun,
autonomic_nervous_system,c,noun,
baby_boomer,c,noun,
back_pain,c,noun,
back_street,c,noun,
bahasa_malaysia,pn,noun,
bail_bond,c,noun,
bail_out,ffi,verb,
baker_'s_dozen,c,noun,
baking_soda,c,noun,
balance_sheet,c,noun,
balkan_peninsula,pn,noun,
ball_field,c,noun,
ballot_box,c,noun,
ballpoint_pen,c,noun,
baltic_sea,pn,noun,
bank_statement,c,noun,
banyan_tree,c,noun,
barn_owl,c,noun,
barn_swallow,c,noun,
barrel_organ,c,noun,
baseball_field,c,noun,
bass_drum,c,noun,
battle_cry,c,noun,
bay_of_bengal,pn,noun,
bay_of_biscay,pn,noun,
bb_gun,c,noun,
be_afraid_of,s,misc,
beer_garden,c,noun,
bell_ringer,c,noun,
bell_tower,c,noun,
belly_button,c,noun,
belly_dance,c,noun,
bend_sinister,c,noun,
bengal_tiger,c,noun,
benzoic_acid,c,noun,
bering_strait,pn,noun,
bermuda_triangle,c,noun,
beta_particle,c,noun,
big_apple,ffi,noun,
big_baby,c,noun,
big_bang,c,noun,
big_hand,c,noun,
big_sister,c,noun,
big_wheel,c,noun,
bile_duct,c,noun,
bill_of_exchange,ffi,noun,
billy_goat,c,noun,
biological_weapon,c,noun,
bird_dog,ffi,noun,
birth_certificate,c,noun,
birth_control,c,noun,
birthday_present,c,noun,
black_art,c,noun,
black_box,c,noun,
black_flag,c,noun,verb
black_grouse,c,noun,
black_ice,c,noun,
black_market,c,noun,
black_pepper,c,noun,
black_pudding,ffi,noun,
black_rhinoceros,c,noun,
blank_check,c,noun,
blazing_star,c,noun,
blind_alley,ffi,noun,
blind_spot,c,noun,
blood_donor,c,noun,
blood_money,c,noun,
blood_poisoning,c,noun,
blood_sugar,c,noun,
blood_transfusion,c,noun,
blood_vessel,c,noun,
blow_off,ffi,verb,
blow_up,ffi,verb,
board_game,c,noun,
body_language,c,noun,
body_temperature,c,noun,
bomb_shelter,c,noun,
bon_vivant,ffi,noun,
bony_fish,c,noun,
book_of_mormon,pn,noun,
boolean_logic,c,noun,
bosnia_and_herzegovina,pn,noun,
bow_and_arrow,ffi,noun,
bowling_alley,c,noun,
box_office,c,noun,
boy_scout,c,noun,
brain_drain,c,noun,
brain_stem,c,noun,
break_-_in,ffi,noun,
break_off,ffi,verb,
breast_cancer,c,noun,
british_isles,pn,noun,
bronze_age,pn,noun,
brown_rat,c,noun,
bullet_train,c,noun,
bulletin_board,c,noun,
burden_of_proof,ffi,noun,
burn_down,ffi,verb,
bus_route,c,noun,
bus_station,c,noun,
bus_stop,c,noun,
bush_fire,c,noun,
butyric_acid,c,noun,
by_-product,ffi,noun,
c_major,c,noun,
cabernet_sauvignon,c,noun,
cake_shop,c,noun,
calcium_carbide,c,noun,
calcium_sulfate,c,noun,
calculus_of_variations,s,noun,
calm_down,ffi,verb,
canadian_football,pn,noun,
canal_zone,pn,noun,
cannon_fodder,c,noun,
cape_horn,pn,noun,
cape_of_good_hope,pn,noun,
cape_verde,pn,noun,
capital_punishment,c,noun,
capitol_hill,pn,noun,
car_bomb,c,noun,
car_park,c,noun,
carbolic_acid,c,noun,
carbon_black,c,noun,
carbon_dioxide,c,noun,
carbon_monoxide,c,noun,
carbonic_acid,c,noun,
cargo_hold,c,noun,
caribbean_sea,pn,noun,
carpal_tunnel,c,noun,
carriage_house,c,noun,
case_law,c,noun,
cash_cow,c,noun,
cash_register,c,noun,
castor_oil,c,noun,
cell_wall,c,noun,
cellular_telephone,c,noun,
center_of_gravity,ffi,noun,
central_america,pn,noun,
central_processing_unit,c,noun,
cerebral_cortex,c,noun,
cha_-_cha,ffi,noun,
chain_mail,c,noun,
chain_store,c,noun,
chamber_music,c,noun,
chancel_screen,c,noun,
channel_tunnel,pn,noun,
charge_card,c,noun,
chat_show,c,noun,
check_in,ffi,verb,
cheer_up,ffi,verb,
chemical_formula,c,noun,
chemical_reaction,c,noun,
cherry_tree,c,noun,
chest_nut,c,noun,
chewing_gum,c,noun,
children_'s_home,ffi,noun,
chill_out,ffi,noun,
chinese_taipei,pn,noun,
chip_in,ffi,verb,
chocolate_bar,c,noun,
christmas_day,pn,noun,
christmas_eve,pn,noun,
christmas_present,c,noun,
christmas_tree,c,noun,
circuit_breaker,c,noun,
citric_acid,c,noun,
city_council,c,noun,
city_hall,c,noun,
civil_engineering,c,noun,
civil_marriage,c,noun,
class_struggle,c,noun,
clock_face,c,noun,
close_to,ffi,adv,
cloud_nine,ffi,noun,
coal_gas,c,noun,
coal_mine,c,noun,
coarse_-_grained,c,adj,
coat_of_arms,s,noun,
coconut_milk,c,noun,
coefficient_of_friction,s,noun,
coffee_bean,c,noun,
coffee_shop,c,noun,
coffee_table,c,noun,
cold_front,c,noun,
collective_bargaining,c,noun,
color_blindness,c,noun,
colorado_river,pn,noun,
colour_television,c,noun,
colour_tv,c,noun,
coma_berenices,pn,noun,
come_across,ffi,verb,
come_back,ffi,verb,
comfort_station,c,noun,
common_-_law_marriage,c,noun,
common_cold,c,noun,
common_market,c,noun,
common_year,c,noun,
commonwealth_of_dominica,pn,noun,
compound_eye,c,noun,
computational_linguistics,c,noun,
computer_program,c,noun,
computer_scientist,c,noun,
concentration_camp,c,noun,
condensed_milk,c,noun,
congenital_heart_defect,c,noun,
conic_section,c,noun,
connecting_rod,c,noun,
connective_tissue,c,noun,
conscientious_objector,c,noun,
contact_lens,c,noun,
container_ship,c,noun,
continental_drift,c,noun,
continental_shelf,c,noun,
continuous_track,c,noun,
contour_line,c,noun,
contradiction_in_terms,s,noun,
control_surface,c,noun,
convenience_store,c,noun,
conveyor_belt,c,noun,
cookery_book,c,noun,
cooling_tower,c,noun,
cor_anglais,ffi,noun,
coral_snake,c,noun,
coriolis_force,c,noun,
cork_oak,c,noun,
corner_kick,c,noun,
coronary_artery_disease,c,noun,
cost_of_living,s,noun,
costa_rican,c,adj,
country_of_origin,s,noun,
court_of_last_resort,s,noun,
covalent_bond,c,noun,
cover_letter,c,noun,
cover_version,c,noun,
cowboy_hat,c,noun,
cradle_song,c,noun,
cranial_nerve,c,noun,
crew_cut,c,noun,
criminal_law,c,noun,
cross_over,c,noun,verb
cross_section,c,noun,
crossword_puzzle,c,noun,
crow_'s_nest,ffi,noun,
cruise_missile,c,noun,
crystal_ball,c,noun,
cubic_metre,c,noun,
cultural_revolution,c,noun,
current_account,c,noun,
curry_powder,c,noun,
cyrillic_alphabet,pn,noun,
cystic_fibrosis,c,noun,
dairy_product,c,noun,
dance_floor,c,noun,
dance_music,c,noun,
dar_es_salaam,pn,noun,
dark_-_skinned,c,noun,
day_care_center,c,noun,
de_jure,ffi,adv,adj
death_knell,c,noun,
death_row,c,noun,
death_valley,pn,noun,
death_warrant,c,noun,
debit_card,c,noun,
definite_article,c,noun,
definite_integral,c,noun,
democratic_people_'s_republic_of_korea,pn,noun,
dengue_fever,c,noun,
dental_caries,c,noun,
dental_floss,c,noun,
department_store,c,noun,
depend_on,ffi,verb,
dependent_clause,c,noun,
desktop_publishing,c,noun,
diabetes_mellitus,c,noun,
diatomaceous_earth,c,noun,
diesel_engine,c,noun,
difference_of_opinion,s,noun,
differential_calculus,c,noun,
digital_camera,c,noun,
dim_sum,ffi,noun,
dining_room,c,noun,
disc_brake,c,noun,
disk_drive,c,noun,
display_window,c,noun,
distilled_water,c,noun,
dive_bomber,c,noun,
divine_service,c,noun,
dog_food,c,noun,
doll_'s_house,s,noun,
domestic_science,c,noun,
domestic_violence,c,noun,
dominican_republic,pn,noun,
donald_duck,pn,noun,
donets_basin,pn,noun,
double_bed,c,noun,
down_payment,c,noun,
dr_congo,pn,noun,
drive_off,ffi,verb,
drop_by,ffi,verb,
dry_season,c,noun,
due_date,c,noun,
dung_beetle,c,noun,
early_childhood,s,noun,
east_germany,pn,noun,
easter_egg,c,noun,
eastern_roman_empire,pn,noun,
eating_disorder,c,noun,
eau_de_cologne,ffi,noun,
economic_growth,c,noun,
egg_-_shaped,c,noun,
egg_cell,c,noun,
egg_white,c,noun,
eke_out,ffi,noun,
electric_chair,c,noun,
electrical_engineering,c,noun,
electron_microscope,c,noun,
electronic_mail,c,noun,
elementary_school,c,noun,
emergency_brake,c,noun,
employment_agency,c,noun,
employment_contract,c,noun,
end_of_the_world,s,noun,
engagement_ring,c,noun,
enteric_fever,c,noun,
environmental_science,c,noun,
escort_agency,c,noun,
essential_oil,c,noun,
estate_car,c,noun,
estate_tax,c,noun,
ethnic_cleansing,c,noun,
euclidean_geometry,c,noun,
euclidean_space,c,noun,
european_perch,c,noun,
evening_primrose,c,noun,
evening_star,c,noun,
every_so_often,ffi,adv,
evil_eye,c,noun,
ex_libris,ffi,noun,
exchange_of_letters,s,noun,
exclamation_mark,c,noun,
exhaust_pipe,c,noun,
extension_cord,c,noun,
extra_time,s,noun,
eye_socket,c,noun,
facial_hair,c,noun,
fairy_tale,c,noun,
fait_accompli,ffi,noun,
fall_apart,ffi,verb,
fall_asleep,ffi,verb,
fall_guy,c,noun,
fallow_deer,c,noun,
family_business,c,noun,
far_-_flung,c,adj,
farm_worker,c,noun,
faroe_islands,c,noun,
fed_up,ffi,adj,
federal_government,pn,noun,
federated_states_of_micronesia,pn,noun,
female_circumcision,c,noun,
femme_fatale,pn,noun,
festival_of_lights,s,noun,
field_marshal,c,noun,
field_mouse,c,noun,
fighter_pilot,c,noun,
figure_of_speech,s,noun,
fill_out,ffi,verb,
find_out,ffi,verb,
fine_arts,c,noun,
fire_alarm,c,noun,
fire_extinguisher,c,noun,
first_gear,c,noun,
first_language,c,noun,
first_name,c,noun,
first_of_all,ffi,adv,
first_up,ffi,adv,
fiscal_deficit,c,noun,
fiscal_year,c,noun,
fission_bomb,c,noun,
fixed_disk,c,noun,
flash_flood,c,noun,
flat_cap,c,noun,
focal_point,c,noun,
food_additive,c,noun,
food_chain,c,noun,
food_colouring,c,noun,
food_court,c,noun,
fool_'s_gold,s,noun,
fore_-_and_-_aft,s,adv,
forest_fire,c,noun,
forget_-_me_-_not,ffi,noun,
formic_acid,c,noun,
fortified_wine,c,noun,
fountain_pen,c,noun,
four_-_stroke_engine,c,noun,
four_-dimensional,c,adj,
fox_terrier,c,noun,
free_of_charge,ffi,adj,adv
free_throw,c,noun,
freedom_fighter,c,noun,
freedom_of_religion,s,noun,
freedom_of_the_press,s,noun,
french_kiss,c,noun,
fried_rice,c,noun,
friuli-venezia_giulia,pn,noun,
from_scratch,s,adv,
frontal_bone,c,noun,
fruit_fly,c,noun,
fruit_juice,c,noun,
fruit_salad,c,noun,
fruit_tree,c,noun,
full_-_fledged,c,adj,
full_house,ffi,noun,
full_moon,c,noun,
full_stop,c,noun,
fully_grown,c,noun,
fusion_reactor,c,noun,
futures_contract,c,noun,
gall_bladder,c,noun,
game_of_chance,ffi,noun,
game_theory,c,noun,
garbage_can,c,noun,
gas_chamber,c,noun,
gas_pump,c,noun,
gastric_acid,c,noun,
gather_together,ffi,verb,
gear_wheel,c,noun,
general_election,c,noun,
general_practitioner,c,noun,
general_relativity,c,noun,
genghis_khan,pn,noun,
german_democratic_republic,pn,noun,
german_mark,c,noun,
get_rid_of,ffi,verb,
ghost_ship,c,noun,
ghost_town,c,noun,
giant_lizard,c,noun,
giant_panda,c,noun,
giant_squid,c,noun,
give_a_damn,ffi,verb,
given_name,c,noun,
global_positioning_system,c,noun,
go_back,ffi,verb,
go_out,ffi,verb,
go_wrong,ffi,verb,
goings_-_on,c,noun,
gold_coast,pn,noun,
gold_medal,c,noun,
golden_horde,pn,noun,
golf_course,c,noun,
good_deal,ffi,noun,
good_luck,c,noun,
goose_bumps,pn,noun,
governor_general,c,noun,
grade_crossing,c,noun,
grade_school,c,noun,
graduate_school,c,noun,
graduate_student,c,noun,
grape_juice,c,noun,
grave_accent,c,noun,
gravitational_field,c,noun,
gravitational_force,c,noun,
great_-_nephew,c,noun,
great_barrier_reef,c,noun,
great_bear,c,noun,
great_crested_grebe,c,noun,
great_dane,c,noun,
great_deal,ffi,noun,
great_lakes,pn,noun,
great_white_shark,c,noun,
greco_-_roman,c,adj,
green_light,c,noun,
greenhouse_effect,c,noun,
greenhouse_gas,c,noun,
gross_national_product,c,noun,
ground_beef,c,noun,
ground_forces,c,noun,
ground_nut,c,noun,
grow_up,ffi,verb,
guest_worker,c,noun,
guide_dog,c,noun,
half_-_life,c,noun,
hand_grenade,c,noun,
hand_out,ffi,verb,
hand_over,ffi,verb,
hang_glider,c,noun,
hang_gliding,c,noun,
hang_up,ffi,verb,
hara_-_kiri,ffi,noun,
hard_luck,pn,noun,
hardware_store,c,noun,
have_a_look,ffi,verb,
hay_fever,c,noun,
hazel_nut,c,noun,
head_of_state,s,noun,
health_care,c,noun,
heart_failure,c,noun,
heat_shield,c,noun,
heavy_metal,c,noun,
hedge_fund,c,noun,
herpes_simplex,ffi,noun,
high_energy_physics,c,noun,
high_german,pn,noun,
high_spirits,pn,noun,
high_treason,c,noun,
higher_education,c,noun,
hilbert_space,c,noun,
hinge_on,ffi,verb,
hiv_virus,c,noun,
holding_company,c,noun,
holy_saturday,pn,noun,
holy_water,c,noun,
home_economics,c,noun,
home_page,c,noun,
homeless_person,c,noun,
honey_buzzard,c,noun,
hong_kong,pn,noun,
horizontal_bar,c,noun,
horn_of_africa,s,noun,
horse_racing,c,noun,
hostile_takeover,c,noun,
hot_-_air_balloon,c,noun,
hot_air,c,noun,
hot_chocolate,c,noun,
hot_spring,c,noun,
house_arrest,c,noun,
house_cat,c,noun,
house_mouse,c,noun,
house_of_cards,ffi,noun,
house_of_lords,pn,noun,
hudson_river,pn,noun,
hue_and_cry,ffi,noun,
hugue_not,pn,noun,
human_nature,c,noun,
hunger_strike,c,noun,
huntington_'s_disease,c,noun,
hush_-_hush,ffi,adj,
hydrogen_sulfide,c,noun,
hyoid_bone,c,noun,
ice_age,pn,noun,
ice_cream,c,noun,
ice_hockey,c,noun,
ice_skate,c,verb,noun
ideal_gas,c,noun,
igneous_rock,c,noun,
ill_-_advised,c,adj,
imperative_mood,c,noun,
in_addition,ffi,adv,
in_all_probability,ffi,adv,
in_any_case,ffi,adv,
in_any_event,ffi,adv,
in_chorus,ffi,adv,
in_common,ffi,adv,
in_group,ffi,prep,
in_lieu_of,ffi,prep,
in_pain,ffi,prep,
in_reality,ffi,adv,
in_situ,ffi,adj,adv
in_the_nick_of_time,ffi,adv,
in_this_day_and_age,ffi,adv,
incandescent_lamp,c,noun,
indefinite_article,c,noun,
independent_variable,c,noun,
index_finger,c,noun,
indian_ocean,pn,noun,
indian_rhinoceros,c,noun,
indian_summer,c,noun,
indicative_mood,c,noun,
inert_gas,c,noun,
information_technology,c,noun,
inheritance_tax,c,noun,
inner_circle,c,noun,
inner_city,c,noun,
inorganic_compound,c,noun,
insane_asylum,c,noun,
inside_out,ffi,adv,
instant_coffee,c,noun,
integral_calculus,c,noun,
inter_alia,ffi,adv,
interest_rate,c,noun,
international_agreement,c,noun,
international_system_of_units,s,noun,
intertidal_zone,c,noun,
intervertebral_disc,c,noun,
inverse_function,c,noun,
irish_sea,pn,noun,
iron_hand,ffi,noun,
iron_lung,c,noun,
iron_maiden,ffi,noun,
islamic_republic_of_iran,pn,noun,
isle_of_man,pn,noun,
isosceles_triangle,c,noun,
jack_of_all_trades,ffi,noun,
jack_the_ripper,pn,noun,
james_bond,pn,noun,
jammu_and_kashmir,pn,noun,
jehovah_'s_witness,pn,noun,
jehovah_'s_witnesses,pn,noun,
jelly_bean,c,adj,
jet_-_black,c,adj,
jet_engine,c,noun,
jet_lag,c,noun,
jet_set,c,noun,
jigsaw_puzzle,c,noun,
job_description,s,noun,
john_doe,c,noun,
john_milton,pn,noun,
john_the_baptist,pn,noun,
joint_venture,c,noun,
julian_calendar,pn,noun,
junk_mail,c,noun,
just_in_time,ffi,noun,
kara_sea,pn,noun,
keep_on,ffi,verb,
keep_up,ffi,verb,
khmer_rouge,pn,noun,
kick_out,ffi,verb,
kidney_bean,c,noun,
king_cobra,c,noun,
kingdom_of_belgium,pn,noun,
kingdom_of_norway,pn,noun,
knock_down,ffi,noun,
know_-_it_-_all,s,noun,
korean_war,c,noun,
krebs_cycle,c,noun,
ku_klux_klan,pn,noun,
labor_market,c,noun,
lactic_acid,c,noun,
lake_erie,pn,noun,
lance_corporal,c,noun,
landing_strip,c,noun,
language_barrier,c,noun,
laparoscopic_surgery,c,noun,
laptop_computer,c,noun,
large_-_scale,c,noun,
large_intestine,c,noun,
last_hurrah,c,noun,
last_name,c,noun,
late_latin,c,noun,
latin_alphabet,pn,noun,
latin_america,pn,noun,
latin_american,c,adj,
latin_script,pn,noun,
latissimus_dorsi,ffi,noun,
lawn_mower,c,noun,
lay_-_by,ffi,verb,
le_havre,pn,noun,
leap_day,c,noun,
leap_second,c,noun,
learning_disability,c,noun,
leave_behind,ffi,verb,
left_wing,c,noun,
let_go,ffi,verb,
let_loose,ffi,verb,
liability_insurance,c,noun,
lieutenant_colonel,c,noun,
lieutenant_commander,c,noun,
life_-_style,c,noun,
life_assurance,c,noun,
life_insurance,c,noun,
life_jacket,c,noun,
life_science,c,noun,
life_sentence,c,noun,
life_style,c,noun,
